Query,Answer
"What are the symptoms of Asthma - children?","Breathing problems are common. They can include: Shortness of breath, Feeling out of breath, Gasping for air, Trouble breathing out, Breathing faster than normal. When the child is having a hard time breathing, the skin of the chest and neck may suck inward. Other symptoms of asthma in children include: Coughing that sometimes wakes the child up at night (it may be the only symptom), Dark bags under the eyes, Feeling tired, Irritability, Tightness in the chest. A whistling sound made when breathing (wheezing). You may notice it more when the child breathes out.    Your child's asthma symptoms may vary. Symptoms may appear often or develop only when triggers are present. Some children are more likely to have asthma symptoms at night."
"What to do for Breathing difficulty?","Sometimes, mild breathing difficulty may be normal and is not a cause for concern. A very stuffy nose is one example. Strenuous exercise, especially when you do not exercise often, is another example.  If breathing difficulty is new or is getting worse, it may be due to a serious problem. Though many causes are not dangerous and are easily treated, call your health care provider for any breathing difficulty.  If you are being treated for a long-term problem with your lungs or heart, follow your provider's directions to help with that problem."
"How to prevent Asthma?","You can reduce asthma symptoms by avoiding triggers and substances that irritate the airways.  - Cover bedding with allergy-proof casings to reduce exposure to dust mites.  - Remove carpets from bedrooms and vacuum regularly.  - Use only unscented detergents and cleaning materials in the home.  - Keep humidity levels low and fix leaks to reduce the growth of organisms such as mold.  - Keep the house clean and keep food in containers and out of bedrooms. This helps reduce the possibility of cockroaches. Body parts and droppingsfrom cockroachescan trigger asthma attacks in some people.  - If someone is allergic to an animal that cannot be removed from the home, the animal should be kept out of the bedroom. Place filtering material over the heating outlets to trap animal dander. Change the filter in furnaces and air conditioners often.  - Eliminate tobacco smoke from the home. This is the single most important thing a family can do to helpsomeone with asthma. Smoking outside the house is not enough. Family members and visitors who smoke outside carry smoke residue inside on their clothes and hair. This can trigger asthma symptoms. If you smoke, now is a good time to quit.  - Avoid air pollution, industrial dust, and irritating fumes as much as possible."
"What causes Night terror?","The cause is unknown, but night terrors may be triggered by:  - Fever  - Lack of sleep  - Periods of emotional tension, stress, or conflict   Night terrors are most common in children ages 3through 7, and much less common after that. Night terrors may run in families. They can occur in adults, especially when there is emotional tension or alcohol use."
"What is Depression?","When a person has depression, it interferes with daily life and normal functioning, and causes pain for both the person with depression and those who care about him or her. Doctors call this condition ""depressive disorder,"" or ""clinical depression."" Depression in Older Adults Important life changes that happen as we get older may cause feelings of uneasiness, stress, and sadness. For instance, the death of a loved one, moving from work into retirement, or dealing with a serious illness can leave people feeling sad or anxious. After a period of adjustment, many older adults can regain their emotional balance, but others do not and may develop depression. Depression is a common problem among older adults, but it is NOT a normal part of aging. In fact, studies show that most older adults feel satisfied with their lives, despite having more physical ailments. However, when older adults do suffer from depression, it may be overlooked because they may be less willing to talk about feelings of sadness or grief, or they may show different, less obvious symptoms, and doctors may be less likely to suspect or spot it. Sometimes it can be difficult to distinguish grief from major depression. Grief after loss of a loved one is a normal reaction to the loss and generally does not require professional mental health treatment. However, grief that lasts for a very long time following a loss may require treatment. Test Depression and Suicide Though it is widely believed that suicide more often affects young people, suicide is a serious problem among older adults, too  particularly among older men  and depression is usually a major contributing factor. Adults 65 and older have a suicide rate that is higher than the rate for the national population, but there are some major differences between older men and women. While suicide rates for older women are somewhat lower than those for young and middle-aged women, rates among men 75 and older are higher than those for younger men. In fact, white men age 85 and older have the highest suicide rate in the United States. Types of Depression There are several types of depression. The most common types are major depressive disorder and dysthymic disorder. - Major depressive disorder, also called major depression or clinical depression, is characterized by a combination of symptoms that interfere with a person's ability to work, sleep, concentrate, eat, and enjoy activities he or she once liked. Major depression prevents a person from functioning normally. An episode of major depression may occur only once in a person's lifetime, but more often, it recurs throughout a person's life.   - Dysthymic disorder, also called dysthymia, is a less severe but more long-lasting form of depression. Dysthymia is characterized by symptoms lasting two years or longer that keep a person from functioning normally or feeling well. People with dysthymia may also experience one or more episodes of major depression during their lifetime.  Major depressive disorder, also called major depression or clinical depression, is characterized by a combination of symptoms that interfere with a person's ability to work, sleep, concentrate, eat, and enjoy activities he or she once liked. Major depression prevents a person from functioning normally. An episode of major depression may occur only once in a person's lifetime, but more often, it recurs throughout a person's life. Dysthymic disorder, also called dysthymia, is a less severe but more long-lasting form of depression. Dysthymia is characterized by symptoms lasting two years or longer that keep a person from functioning normally or feeling well. People with dysthymia may also experience one or more episodes of major depression during their lifetime. Other types of depression include subsyndromal depression, psychotic depression. and bipolar depression. - Subsyndromal depression  is common among older adults. It includes less severe but clear symptoms of depression that fall short of being major depression or dysthymia. Having subsyndromal depression may increase a person's risk of developing major depression.  - Psychotic depression occurs when a person has severe depression plus some form of psychosis, such as having disturbing false beliefs or a break with reality (delusions), or hearing or seeing upsetting things that others cannot hear or see (hallucinations).  - Bipolar depression, also called manic-depressive illness, is not as common as major depression or dysthymia. Bipolar disorder is characterized by cycling mood changesfrom extreme highs (e.g., mania) to extreme lows (e.g., depression).  Subsyndromal depression  is common among older adults. It includes less severe but clear symptoms of depression that fall short of being major depression or dysthymia. Having subsyndromal depression may increase a person's risk of developing major depression. Psychotic depression occurs when a person has severe depression plus some form of psychosis, such as having disturbing false beliefs or a break with reality (delusions), or hearing or seeing upsetting things that others cannot hear or see (hallucinations). Bipolar depression, also called manic-depressive illness, is not as common as major depression or dysthymia. Bipolar disorder is characterized by cycling mood changesfrom extreme highs (e.g., mania) to extreme lows (e.g., depression)."
"What causes Major depression?","Doctors do not know the exact causes of depression. It is believed that chemical changes in the brain are responsible. This may be due to a problem with your genes. Or it may be triggered by certain stressful events. More likely, it is a combination of both.  Some types of depression run in families. Other types occur even if you have no family history of the illness. Anyone can develop depression, including children and teens.   Depression may be brought on by:  - Alcohol or drug use  - Certain medical problems, such as underactive thyroid, cancer, or long-term pain  - Some kinds of medicines, such as steroids  - Sleeping problems  - Stressful life events, such as death or illness of someone close to you, divorce, childhood abuse or neglect, loneliness (common in the elderly), relationship breakup."
"What are the treatments for Major depression?","Depression can be treated. Treatment includes medicines, talk therapy, or both.  If you are thinking about suicide or are very depressed and cannot function, you may need to be treated in a hospital.  After you have been on treatment, if you feel your symptoms are getting worse, talk with your provider. Your treatment plan may need to be changed.  MEDICINES  Antidepressants are medicines used to treat depression. They work by bringing back the chemicals in your brain to the right levels. This helps relieve your symptoms.  If you have delusions or hallucinations, your provider may prescribe additional medicines.  Tell your provider about any other medicines you take. Some medicines can change the way antidepressants work in your body.  Allow your medicine time to work. It may take a few weeks before you feel better. Keep taking your medicine as instructed. DO NOT stop taking it or change the amount (dosage) you are taking without talking to your provider. Ask your doctor about possible side effects, and what to do if you have any.  If you feel your medicine is not working, tell your provider. The medicine or its dosage may need to be changed. DO NOT stop taking medicines on your own.  WARNING: Children, teens, and young adults should be watched closely for suicidal behavior. This is especially true during the first few months after starting medicines for depression.  Women being treated for depression who are pregnant or thinking about becoming pregnant should not stop taking antidepressants without first talking to their provider.   Beware of natural remedies such as St. John's wort. This is an herb sold without a prescription. It may help some people with mild depression. But it can change the way other medicines work in your body, including antidepressants. Talk to your provider before trying this herb.  TALK THERAPY  Talk therapy is counseling to talk about your feelings and thoughts, and help you learn how to deal with them.  Types of talk therapy include:  - Cognitive behavioral therapy teaches you how to fight off negative thoughts. You learn how to become more aware of your symptoms and how to spot things that make your depression worse. You are also taught problem-solving skills.  - Psychotherapy can help you understand the issues that may be behind your thoughts and feelings.  - At group therapy, you share with others who have problems like yours. Your therapist or doctor can tell you more about group therapy.    OTHER TREATMENTS FOR DEPRESSION  - Electroconvulsive therapy (ECT) may improve mood in people with severe depression or suicidal thoughts who do not get better with other treatments. ECT is generally safe.  - Light therapy may relieve depression symptoms in the winter time. This type of depression is called seasonal affective disorder."
"What is Hepatitis?","Hepatitis is swelling and inflammation of the liver."
"What causes Appendicitis?","Appendicitis is a very common cause of emergency surgery. The problem most often occurs when the appendix becomes blocked by feces, a foreign object, or rarely, a tumor."
"What are the symptoms of Appendicitis?","The symptoms of appendicitis can vary. It can be hard to diagnose appendicitis in young children, the elderly, and women of childbearing age.  The first symptom is often pain around the belly button. Pain may be minor at first, but becomes more sharp and severe. You may also have a loss of appetite, nausea, vomiting, and a low fever.  The pain tends to move into the right lower part of your belly. The pain tends to focus at a spot directly above the appendix called McBurney's point. This most often occurs 12 to 24 hours after the illness starts.  If your appendix breaks open (ruptures), you may have less pain for a short time and you may feel better. However, the pain soon gets worse and you will feel sicker.  Your pain may be worse when you walk, cough, or make sudden movements. Later symptoms include:  - Chills and shaking  - Hard stools  - Diarrhea  - Fever  - Nausea and vomiting"
"What causes Fever?","Almost any infection can cause a fever, including:  - Bone infections (osteomyelitis), appendicitis, skin infections or cellulitis, and meningitis  - Respiratory infections such as colds or flu -like illnesses, sore throats, ear infections, sinus infections, mononucleosis, bronchitis, pneumonia, and tuberculosis  - Urinary tract infections  - Viral gastroenteritis and bacterial gastroenteritis   Children may have a low-grade fever for 1 or 2 days after some immunizations.  Teething may cause a slight increase in a child's temperature, but not higher than 100F.  Autoimmune or inflammatory disorders may also cause fevers. Some examples are:  - Arthritis or connective tissue illnesses such as rheumatoid arthritis and systemic lupus erythematosus  - Ulcerative colitis and Crohn disease  - Vasculitis or periarteritis nodosa   The first symptom of a cancer may be a fever. This is especially true of Hodgkin disease, non-Hodgkin lymphoma, and leukemia.  Other possible causes of fever include:  - Blood clots or thrombophlebitis  - Medications, such as some antibiotics, antihistamines, and seizure medicines"
"How to prevent Type 2 diabetes?","You can help prevent type 2 diabetes by staying at a healthy body weight. You can get to a healthy weight by eating healthy foods, controlling your portion sizes, and leading an active lifestyle. Some medicines can also delay or prevent type 2 diabetes in people at risk of developing the disease."
"What is Type 2 diabetes?","Type 2 diabetes is a life-long (chronic) disease in which there is a high level of sugar (glucose) in the blood. Type 2 diabetes is the most common form of diabetes."
"What causes Type 2 diabetes ?","Insulin is a hormone produced in the pancreas by special cells, called beta cells. The pancreas is below and behind the stomach. Insulin is needed to move blood sugar (glucose) into cells. Inside the cells, glucose is stored and later used for energy.   When you have type 2 diabetes, your fat, liver, and muscle cells do not respond correctly to insulin. This is called insulin resistance. As a result, blood sugar does not get into these cells to be stored for energy.  When sugar cannot enter cells, a high level of sugar builds up in the blood. This is called hyperglycemia. The body is unable to use the glucose for energy. This leads to the symptoms of type 2 diabetes.  Type 2 diabetes usually develops slowly over time. Most people with the disease are overweight or obese when they are diagnosed. Increased fat makes it harder for your body to use insulin the correct way.  Type 2 diabetes can also develop in people who are thin. This is more common in older adults.  Family history and genes play a role in type 2 diabetes. Low activity level, poor diet, and excess body weight around the waist increase your chance of getting the disease."
"What is the outlook for Type 2 diabetes?","Diabetes is a lifelong disease and there is no cure.  Some people with type 2 diabetes no longer need medicine if they lose weight and become more active. When they reach their ideal weight, their body's own insulin and a healthy diet can control their blood sugar level."
"What are the complications of Type 2 diabetes?","After many years, diabetes can lead to serious health problems:  - You could have eye problems, including trouble seeing (especially at night), and light sensitivity. You could become blind.  - Your feet and skin can develop sores and infections. After a long time, your foot or leg may need to be amputated. Infection can also cause pain and itching in other parts of the body.  - Diabetes may make it harder to control your blood pressure and cholesterol. This can lead to a heart attack, stroke, and other problems. It can become harder for blood to flow to your legs and feet.  - Nerves in your body can get damaged, causing pain, tingling, and numbness.  - Because of nerve damage, you could have problems digesting the food you eat. You could feel weakness or have trouble going to the bathroom. Nerve damage can make it harder for men to have an erection.  - High blood sugar and other problems can lead to kidney damage. Your kidneys may not work as well as they used to. They may even stop working so that you need dialysis or a kidney transplant."
"What is Heart Attack?","Having a heart attack increases your chances of having another one. Therefore, it is very important that you and your family know how and when to seek medical attention. Talk to your doctor about making an emergency action plan, and discuss it with your family. The emergency action plan should include - warning signs or symptoms of a heart attack  - instructions for accessing emergency medical services in your community, including calling 9-1-1  - steps you can take while waiting for medical help to arrive, such as taking aspirin and nitroglycerin  - important information to take along with you to the hospital, such as a list of medications that you take or that you are allergic to, and name and number of whom you should contact if you go to the hospital. warning signs or symptoms of a heart attack instructions for accessing emergency medical services in your community, including calling 9-1-1 steps you can take while waiting for medical help to arrive, such as taking aspirin and nitroglycerin important information to take along with you to the hospital, such as a list of medications that you take or that you are allergic to, and name and number of whom you should contact if you go to the hospital."
"What is Back pain - when you see the doctor?","When you first see your health care provider for back pain, you will be asked about your back pain, including how often and when it occurs and how severe it is.  Your provider will try to determine the cause of your pain and whether it is likely to quickly get better with simple measures, such as ice, mild painkillers, physical therapy, and exercise."
"Do you have information about Diabetes Medicines?","Summary : Diabetes means your blood glucose, or blood sugar, levels are too high. If you can't control your diabetes with wise food choices and physical activity, you may need diabetes medicines. The kind of medicine you take depends on your type of diabetes, your schedule, and your other health conditions.     With type 1 diabetes, your pancreas does not make insulin. Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. If you have type 1 diabetes, you will need to take insulin.     Type 2 diabetes, the most common type, can start when the body doesn't use insulin as it should. If your body can't keep up with the need for insulin, you may need to take pills. Along with meal planning and physical activity, diabetes pills help people with type 2 diabetes or gestational diabetes keep their blood glucose levels on target. Several kinds of pills are available. Each works in a different way. Many people take two or three kinds of pills. Some people take combination pills. Combination pills contain two kinds of diabetes medicine in one tablet. Some people take pills and insulin."
"What causes Autoimmune disorders?","The blood cells in the body's immune system help protect against harmful substances. Examples include bacteria, viruses, toxins, cancer cells, and blood and tissue from outside the body. These substances contain antigens. The immune system produces antibodies against these antigens that enable it to destroy these harmful substances.  When you have an autoimmune disorder, your immune system does not distinguish between healthy tissue and antigens. As a result, the body sets off a reaction that destroys normal tissues.   The exact cause of autoimmune disorders is unknown. One theory is that some microorganisms (such as bacteria or viruses) or drugs may trigger changes that confuse the immune system. This may happen more often in people who have genes that make them more prone to autoimmune disorders.  An autoimmune disorder may result in:  - The destruction of body tissue  - Abnormal growth of an organ  - Changes in organ function    An autoimmune disorder may affect one or more organ or tissue types. Areas often affected by autoimmune disorders include:  - Blood vessels  - Connective tissues  - Endocrine glands such as the thyroid or pancreas  - Joints  - Muscles  - Red blood cells  - Skin    A person may have more than one autoimmune disorder at the same time. Common autoimmune disorders include:  - Addison disease  - Celiac disease - sprue (gluten-sensitive enteropathy)  - Dermatomyositis  - Graves disease  - Hashimoto thyroiditis  - Multiple sclerosis  - Myasthenia gravis  - Pernicious anemia  - Reactive arthritis  - Rheumatoid arthritis  - Sjgren syndrome  - Systemic lupus erythematosus  - Type I diabetes"
"What is polycystic kidney disease?","Polycystic kidney disease is a disorder that affects the kidneys and other organs. Clusters of fluid-filled sacs, called cysts, develop in the kidneys and interfere with their ability to filter waste products from the blood. The growth of cysts causes the kidneys to become enlarged and can lead to kidney failure. Cysts may also develop in other organs, particularly the liver.  Frequent complications of polycystic kidney disease include dangerously high blood pressure (hypertension), pain in the back or sides, blood in the urine (hematuria), recurrent urinary tract infections, kidney stones, and heart valve abnormalities. Additionally, people with polycystic kidney disease have an increased risk of an abnormal bulging (an aneurysm) in a large blood vessel called the aorta or in blood vessels at the base of the brain. Aneurysms can be life-threatening if they tear or rupture.  The two major forms of polycystic kidney disease are distinguished by the usual age of onset and the pattern in which it is passed through families. The autosomal dominant form (sometimes called ADPKD) has signs and symptoms that typically begin in adulthood, although cysts in the kidney are often present from birth or childhood. Autosomal dominant polycystic kidney disease can be further divided into type 1 and type 2, depending on the genetic cause. The autosomal recessive form of polycystic kidney disease (sometimes called ARPKD) is much rarer and is often lethal early in life. The signs and symptoms of this condition are usually apparent at birth or in early infancy."
"What is Diabetes mellitus type 1 ?","Diabetes mellitus type 1 (DM1) is a condition in which cells in the pancreas (beta cells) stop producing insulin, causing abnormally high blood sugar levels. Lack of insulin results in the inability of the body to use glucose for energy and control the amount of sugar in the blood. DM1 can occur at any age, but usually develops by early adulthood, most often in adolescence. Symptoms of high blood sugar may include frequent urination, excessive thirst, fatigue, blurred vision, tingling or loss of feeling in the hands and feet, and weight loss. The exact cause of DM1 is unknown, but having certain "variants" of specific genes may increase a person's risk to develop the condition. A predisposition to develop DM1 runs in families, but no known inheritance pattern exists. Treatment includes blood sugar control and insulin replacement therapy. Improper control can cause recurrence of high blood sugar, or abnormally low blood sugar (hypoglycemia) during exercise or when eating is delayed. If not treated, the condition can be life-threatening. Over many years, chronic high blood sugar may be associated with a variety of complications that affect many parts of the body."
"What are the symptoms of Diabetes mellitus type 1 ?","What are the signs and symptoms of Diabetes mellitus type 1? The Human Phenotype Ontology provides the following list of signs and symptoms for Diabetes mellitus type 1. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the immune system - Diabetes mellitus - Heterogeneous - Hyperglycemia - Ketoacidosis - Polydipsia - Polyphagia - Polyuria - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
"Is Diabetes mellitus type 1 inherited ?","Diabetes mellitus type 1 (DM1) itself is not inherited, but a predisposition to developing the condition can run in families. While some people with a family history of DM1 may be at an increased risk, most will not have the condition. While the exact cause is not known, some genetic risk factors have been found. The risk of developing DM1 is increased by having certain versions (variants) of genes, which belong to a family of genes called the human leukocyte antigen (HLA) complex. HLA genes have many variations, and people have a certain combination of these variations, called a haplotype. Certain HLA haplotypes are associated with a higher risk of developing DM1, with particular combinations causing the highest risk. However, these variants are also found in the general population, and only about 5% of people with the gene variants develop DM1. Other genes, as well as a variety of other factors, are thought to influence the risk for DM1 also. Because there is no specific inheritance pattern associated with DM1, it is difficult to predict whether another family member will develop the condition. Generally, the risk is higher if a parent or sibling is affected. In some cases, genetic testing can be done to determine if someone who has a family history is at increased risk of developing the condition.  More information can be found on the America Diabetes Association's Web site, which has an article entitled Genetics of Diabetes. People with specific questions about genetic risks to themselves or family members should speak with their health care provider or a genetics professional."
"What is Familial hemiplegic migraine type 1 ?","Familial hemiplegic migraine (FHM) is a form of migraine headache that runs in families. Migraines usually cause intense, throbbing pain in one area of the head, often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. These recurrent headaches typically begin in childhood or adolescence and may last from a few hours to a few days. People with familial hemiplegic migraine experience an aura that comes before the headache. The most common symptoms associated with an aura are temporary visual changes such as blind spots (scotomas), flashing lights, zig-zagging lines, and double vision. In people with familial hemiplegic migraine, auras are also characterized by temporary numbness or weakness, often affecting one side of the body (hemiparesis). An aura typically develops gradually over a few minutes and lasts about an hour. Researchers have identified three forms of familial hemiplegic migraine known as FHM1, FHM2, and FHM3. Each of the three types is caused by mutations in a different gene."
